speed_kmh,vehicle_mileage_kmpl,acceleration_mps2,braking_mps2,distance_km,traffic_level_heavy,traffic_level_low,traffic_level_moderate,ac_usage_high,ac_usage_low,ac_usage_moderate,vehicle_load_heavy,vehicle_load_light,vehicle_load_normal,road_type_city,road_type_highway,road_type_mixed
86.94,21.49,0.95,2.92,243.88,0,0,1,1,0,0,0,1,0,0,1,0
26.64,20.14,0.87,0.54,99.19,0,1,0,0,0,1,1,0,0,0,0,1
93.96,12.86,0.97,2.48,48.56,0,0,1,0,1,0,0,0,1,0,0,1
74.84,16.93,1.77,2.99,288.73,0,1,0,1,0,0,0,1,0,0,1,0
108.42,13.48,0.96,2.42,287.33,0,1,0,1,0,0,0,1,0,1,0,0
81.67,16.96,1.83,0.54,7.0,0,0,1,0,0,1,1,0,0,1,0,0
116.56,15.52,1.11,3.13,100.73,1,0,0,1,0,0,0,0,1,0,1,0
56.24,19.79,3.7,3.45,193.11,0,0,1,1,0,0,0,0,1,0,1,0
110.11,14.46,1.87,2.11,151.82,0,1,0,0,1,0,0,0,1,0,0,1
103.99,17.72,0.61,1.44,131.14,0,0,1,1,0,0,1,0,0,0,0,1
44.18,21.93,3.89,0.77,195.11,0,1,0,1,0,0,0,0,1,0,1,0
113.45,17.6,2.89,1.15,174.18,1,0,0,0,0,1,0,0,1,1,0,0
33.43,18.7,0.29,0.06,217.8,0,0,1,1,0,0,0,0,1,0,1,0
51.52,19.51,3.59,0.23,87.01,0,0,1,0,1,0,0,1,0,0,1,0
29.97,19.94,0.34,3.92,40.17,0,0,1,1,0,0,0,1,0,0,1,0
105.27,19.01,1.19,0.82,92.35,0,1,0,1,0,0,1,0,0,1,0,0
49.33,17.66,3.02,1.57,123.87,0,1,0,0,0,1,1,0,0,1,0,0
73.89,20.59,3.49,4.0,131.21,0,1,0,0,0,1,0,0,1,0,0,1
67.14,18.78,0.01,3.76,291.4,0,1,0,1,0,0,1,0,0,0,1,0
109.78,20.0,1.95,1.09,148.26,0,0,1,0,0,1,1,0,0,0,0,1
42.8,18.17,3.19,2.07,91.53,0,1,0,0,0,1,0,0,1,0,0,1
82.7,15.73,1.42,0.19,197.03,0,1,0,0,0,1,0,0,1,0,0,1
63.99,13.4,0.87,1.39,217.58,0,0,1,1,0,0,0,1,0,0,1,0
80.56,18.17,2.45,2.39,73.12,0,1,0,0,0,1,0,1,0,0,0,1
60.88,21.57,0.86,0.23,171.5,1,0,0,0,1,0,0,1,0,0,0,1
32.73,15.93,3.91,3.34,228.07,0,0,1,0,0,1,1,0,0,0,0,1
37.21,21.91,1.88,1.1,7.02,0,0,1,1,0,0,0,0,1,1,0,0
61.83,15.35,0.37,3.74,210.15,1,0,0,0,0,1,0,1,0,0,0,1
86.36,17.94,1.16,1.15,196.91,0,0,1,0,0,1,1,0,0,0,0,1
100.55,12.21,0.58,1.84,214.65,1,0,0,0,1,0,0,0,1,0,1,0
115.95,17.0,0.94,1.85,147.48,1,0,0,1,0,0,1,0,0,0,1,0
64.41,13.0,2.32,0.13,90.52,0,0,1,0,1,0,0,1,0,1,0,0
85.09,13.88,3.04,0.37,123.14,0,1,0,0,1,0,0,1,0,0,1,0
59.64,13.6,1.69,3.79,139.02,1,0,0,0,0,1,1,0,0,0,0,1
106.57,21.55,0.52,0.82,132.5,1,0,0,1,0,0,0,0,1,0,1,0
70.59,18.82,1.05,3.5,206.35,1,0,0,1,0,0,0,1,0,0,0,1
40.54,21.2,3.6,0.74,108.7,0,1,0,0,1,0,1,0,0,1,0,0
98.43,14.38,3.2,1.15,201.03,0,0,1,0,0,1,0,0,1,0,0,1
38.18,20.51,0.85,3.19,105.4,1,0,0,1,0,0,0,0,1,0,0,1
21.2,20.48,1.45,1.3,75.56,0,0,1,0,0,1,0,1,0,1,0,0
71.42,14.1,1.41,0.26,150.76,0,1,0,1,0,0,1,0,0,1,0,0
95.43,17.78,0.18,2.76,251.26,0,1,0,0,0,1,1,0,0,0,1,0
32.0,14.4,0.23,3.03,56.69,0,0,1,0,1,0,1,0,0,1,0,0
118.15,17.31,1.64,2.96,278.02,0,1,0,1,0,0,0,0,1,0,0,1
74.85,16.86,2.2,0.39,186.47,0,0,1,1,0,0,1,0,0,1,0,0
99.24,21.18,0.19,2.16,140.24,1,0,0,1,0,0,0,1,0,0,1,0
28.71,16.98,3.33,3.99,296.23,0,0,1,0,1,0,0,0,1,0,1,0
116.06,16.21,3.19,1.16,15.42,1,0,0,1,0,0,0,0,1,0,0,1
117.37,21.88,0.06,1.29,193.86,0,1,0,1,0,0,0,0,1,0,0,1
97.26,18.33,3.6,3.51,9.58,0,1,0,0,0,1,0,0,1,0,0,1
76.99,17.6,1.34,1.57,277.17,0,0,1,1,0,0,0,0,1,0,1,0
106.68,20.49,3.28,1.18,47.52,1,0,0,0,0,1,0,1,0,0,1,0
64.85,20.14,0.46,3.65,81.92,0,1,0,0,1,0,1,0,0,0,0,1
98.81,15.78,0.83,1.26,124.51,0,1,0,1,0,0,0,0,1,0,1,0
40.68,21.93,3.49,2.44,118.68,0,1,0,0,1,0,0,0,1,1,0,0
57.7,16.05,3.28,2.47,297.95,0,1,0,0,0,1,1,0,0,0,1,0
114.02,17.23,3.25,2.51,234.4,1,0,0,0,1,0,0,1,0,0,0,1
83.91,17.28,2.39,2.45,178.17,0,0,1,0,0,1,0,0,1,0,0,1
99.28,14.92,3.15,1.42,295.15,0,0,1,0,1,0,1,0,0,0,0,1
33.99,21.27,0.41,0.65,215.59,0,1,0,0,0,1,0,0,1,1,0,0
112.13,20.67,2.51,0.31,287.67,0,0,1,0,1,0,0,0,1,0,0,1
118.37,14.22,0.78,3.68,241.69,0,1,0,0,1,0,0,0,1,0,0,1
89.17,20.49,1.79,1.88,228.43,1,0,0,0,0,1,0,1,0,0,0,1
112.23,12.4,1.22,1.96,224.6,0,1,0,0,0,1,1,0,0,1,0,0
62.38,17.38,3.65,1.81,5.3,0,0,1,1,0,0,0,0,1,0,0,1
73.01,19.83,0.26,3.35,164.0,1,0,0,0,1,0,0,1,0,0,0,1
40.66,17.14,1.4,1.27,46.76,1,0,0,0,0,1,1,0,0,0,1,0
29.19,14.22,2.72,3.64,244.17,0,0,1,0,1,0,0,1,0,1,0,0
46.6,13.71,2.86,1.66,190.68,0,1,0,0,1,0,1,0,0,1,0,0
73.82,20.99,0.4,2.62,83.59,0,1,0,1,0,0,0,1,0,1,0,0
21.93,15.88,1.84,2.46,14.22,0,1,0,0,1,0,0,0,1,0,0,1
65.67,12.08,3.31,2.22,215.93,0,1,0,0,0,1,0,0,1,1,0,0
35.63,12.31,0.88,2.99,240.05,1,0,0,0,0,1,1,0,0,0,1,0
76.06,16.12,1.58,0.65,222.45,0,0,1,0,0,1,0,1,0,1,0,0
64.05,16.69,0.74,0.21,282.61,0,0,1,0,1,0,0,1,0,1,0,0
36.53,13.87,1.89,0.95,280.25,0,1,0,0,1,0,1,0,0,0,0,1
52.16,17.46,3.86,0.85,18.45,0,1,0,0,0,1,0,1,0,0,1,0
38.66,13.9,1.39,2.93,86.22,1,0,0,1,0,0,0,1,0,0,1,0
114.73,16.33,0.64,3.88,22.63,0,1,0,0,1,0,0,0,1,0,0,1
108.83,16.54,0.09,3.87,242.78,1,0,0,0,1,0,0,1,0,1,0,0
66.27,17.29,3.6,3.79,219.71,0,1,0,0,0,1,0,0,1,0,1,0
20.46,15.48,0.94,0.47,161.41,0,1,0,1,0,0,0,0,1,0,0,1
80.0,20.23,1.81,1.99,74.72,0,0,1,1,0,0,1,0,0,0,1,0
74.37,16.75,0.33,2.9,216.1,0,1,0,0,0,1,0,0,1,0,0,1
101.44,17.07,1.78,2.49,280.91,0,1,0,0,0,1,0,0,1,0,1,0
26.87,12.52,3.8,2.35,36.51,0,0,1,0,1,0,0,0,1,1,0,0
89.03,15.37,0.72,2.19,203.48,0,1,0,0,1,0,0,0,1,0,1,0
33.2,16.55,1.92,0.59,168.68,0,0,1,1,0,0,1,0,0,0,1,0
87.03,19.56,0.08,3.06,150.21,1,0,0,1,0,0,1,0,0,1,0,0
44.59,15.23,0.67,2.87,90.51,0,1,0,1,0,0,1,0,0,0,1,0
58.27,14.58,3.15,0.88,211.85,0,0,1,0,0,1,0,0,1,0,0,1
95.16,16.57,3.66,0.01,246.12,0,0,1,0,0,1,1,0,0,0,0,1
25.31,14.2,0.14,1.06,24.42,0,1,0,0,0,1,0,1,0,0,0,1
116.17,13.52,2.54,3.88,225.98,1,0,0,1,0,0,1,0,0,0,0,1
39.79,14.5,3.38,2.87,288.75,0,1,0,1,0,0,1,0,0,1,0,0
31.83,15.9,0.02,2.88,23.66,1,0,0,1,0,0,0,1,0,0,0,1
92.93,16.97,3.29,2.38,288.31,0,0,1,0,1,0,1,0,0,0,0,1
21.26,20.29,1.25,3.57,39.58,0,0,1,0,1,0,0,1,0,0,0,1
87.58,18.51,0.1,2.07,178.4,0,1,0,0,1,0,0,1,0,0,0,1
105.72,16.51,3.44,0.35,180.06,1,0,0,0,0,1,0,0,1,0,1,0
117.47,12.86,0.27,2.1,154.66,1,0,0,1,0,0,0,1,0,1,0,0
33.57,18.43,1.85,0.2,116.84,0,1,0,0,0,1,0,0,1,1,0,0
48.22,13.1,0.12,1.73,179.1,1,0,0,0,0,1,1,0,0,1,0,0
72.62,13.89,1.0,2.5,57.77,1,0,0,1,0,0,0,0,1,0,0,1
94.72,19.62,3.04,1.03,34.94,0,0,1,0,1,0,1,0,0,1,0,0
27.28,20.5,1.66,2.52,62.36,1,0,0,0,0,1,0,0,1,1,0,0
64.29,14.71,1.65,3.39,35.85,0,1,0,0,0,1,1,0,0,0,1,0
80.52,15.47,1.48,0.33,213.11,1,0,0,0,0,1,1,0,0,0,1,0
33.77,13.86,0.18,0.51,177.43,1,0,0,1,0,0,0,0,1,1,0,0
88.74,20.17,0.75,0.57,130.79,0,0,1,1,0,0,0,0,1,0,1,0
29.34,18.19,3.81,0.94,96.57,0,1,0,0,1,0,0,1,0,0,1,0
117.21,18.78,1.53,2.72,50.06,1,0,0,1,0,0,0,1,0,0,1,0
100.96,13.92,2.33,3.07,155.15,1,0,0,0,1,0,1,0,0,0,0,1
